Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
eyecandies,CandyCane,0.5048,0.6666666666222222,0.5287640756756875,0.9236653014763748,0.0659971305105907,0.0158028294066503,0.7618962192220556
eyecandies,ChocolateCookie,0.9032,0.9130434782112476,0.939566118635886,0.9803593935058788,0.4211204120577649,0.3833356887923695,0.9079729180129216
eyecandies,ChocolatePraline,0.8912000000000001,0.8399999999499999,0.9224958806613004,0.984887738031496,0.6032953104696452,0.6554381416759447,0.9498400538167212
eyecandies,GummyBear,0.85829307568438,0.7999999999503199,0.8453472874074568,0.9088541031755007,0.4128289473195045,0.3226387487258243,0.8139934685108953
eyecandies,HazelnutTruffle,0.8208,0.7636363635867768,0.8623945511007504,0.952304587951117,0.5242070116379864,0.4933173279078844,0.7856735330493207
eyecandies,LicoriceSandwich,0.9056,0.8461538461039201,0.9260436439566876,0.961633783740566,0.27480916025535,0.1941349923884455,0.8580729359541123
eyecandies,Lollipop,0.738095238095238,0.5806451612403745,0.6326219613719615,0.9819276958179126,0.2986767485331568,0.2484723834003994,0.8798159404606765
eyecandies,Marshmallow,0.9168,0.8749999999500867,0.9363414398975038,0.973156392242707,0.5717023314735356,0.5855228618412069,0.848555565035653
eyecandies,PeppermintCandy,0.9616,0.9130434782112476,0.9686938349007316,0.97737497594782,0.4557606619488732,0.4069705276436126,0.9299837170305948
eyecandies,Average,0.8333764793088464,0.7997987770917994,0.8402520881786628,0.9604626635432637,0.4031553015784897,0.36729261130914864,0.8595338167881057
